date,open,high,low,close,volume
2021-03-30,34023.3515625,34628.1484375,33981.25,34578.8515625,62200
2021-03-31,34538.55078125,34980.1484375,34448.30078125,34931.69921875,52000
2021-04-01,35081.1015625,35102.69921875,34754.8515625,34874.55078125,40100
2021-04-05,34800.55078125,34892.6015625,34024.1484375,34304.55078125,48000
2021-04-06,34439.55078125,34697.1015625,34221.1015625,34619.8515625,46200
2021-04-07,34682.1484375,35050.44921875,34613.19921875,34835.30078125,32800
2021-04-08,34899.5,35105.6484375,34869.1484375,34983.05078125,28600
2021-04-09,35064.69921875,35442.8515625,34999.3984375,35253.1015625,30500
2021-04-12,34865.1015625,34979.8984375,34472.8984375,34561.3515625,52700
2021-04-13,34698.94921875,35045.44921875,34591.1015625,34720.3515625,36200
2021-04-15,34972.5,35046.75,34349.6484375,34658.6015625,36200
2021-04-16,34816.8984375,34957.1484375,34699.0,34853.1484375,29200
2021-04-19,34463.44921875,34623.94921875,34218.1015625,34519.0,28200
2021-04-20,34772.05078125,34772.05078125,34087.1015625,34296.5,41400
2021-04-22,34212.19921875,34222.80078125,33894.05078125,34043.05078125,37700
2021-04-23,33938.1015625,34002.8515625,33631.69921875,33726.1015625,32400
2021-04-26,33874.75,33952.6015625,33726.05078125,33865.69921875,33300
2021-04-27,33949.8984375,34037.19921875,33888.3515625,34009.3515625,24400
2021-04-28,34060.44921875,34398.5,33999.8515625,34129.1484375,28700
2021-04-29,34400.69921875,34455.0,33944.8984375,34009.0,28000
2021-04-30,33970.25,34098.8984375,33544.8515625,33623.44921875,35700
2021-05-03,33515.6484375,34072.69921875,33505.19921875,33994.19921875,53600
2021-05-04,34074.25,34166.8984375,33691.69921875,33822.75,41300
2021-05-06,34003.8515625,34233.55078125,33897.69921875,34048.5,33000
2021-05-07,34153.5,34221.6015625,34049.8515625,34123.5,51200
2021-05-10,34273.94921875,34332.1015625,34067.44921875,34204.25,34100
2021-05-12,34197.25,34258.6484375,33988.44921875,34057.3984375,60500
2021-05-14,34158.19921875,34835.0,34094.3984375,34781.5,84200
2021-05-17,35050.6015625,35097.55078125,34755.19921875,34807.3984375,53300
2021-05-18,35083.8984375,35125.6015625,34655.94921875,34741.44921875,47800
2021-05-19,34704.19921875,34844.55078125,34635.1484375,34729.69921875,41700
2021-05-21,34556.6015625,34727.05078125,34522.69921875,34690.55078125,35800
2021-05-24,34722.5,34748.69921875,34487.55078125,34572.5,50700
2021-05-26,34929.1015625,34982.44921875,34782.80078125,34815.69921875,30500
2021-05-27,34878.6015625,34957.75,34741.80078125,34812.30078125,83200
2021-05-28,34947.8515625,35084.19921875,34870.55078125,34890.5,39400
2021-06-01,35357.44921875,35378.80078125,35172.8515625,35241.19921875,51400
2021-06-02,34996.25,35220.44921875,34953.1484375,35058.6015625,114200
2021-06-03,35216.05078125,35300.1484375,35090.3515625,35266.5,60200
2021-06-04,35330.6484375,35330.6484375,35092.1015625,35138.0,54500
2021-06-07,35336.1015625,35428.80078125,35199.5,35375.3515625,47700
2021-06-08,35463.6484375,35716.3984375,35398.94921875,35672.44921875,40800
2021-06-09,35721.3515625,35785.1484375,35454.1484375,35588.94921875,39200
2021-06-10,35564.44921875,35901.75,35448.6015625,35731.30078125,51900
2021-06-11,35858.19921875,35869.6484375,35589.05078125,35646.94921875,34500
2021-06-14,35620.3515625,35707.6484375,35258.0,35659.94921875,30500
2021-06-15,35691.3984375,35953.6484375,35673.8984375,35921.5,32100
2021-06-16,35953.94921875,36244.1484375,35937.94921875,36131.25,38100
2021-06-17,35983.80078125,36287.5,35935.44921875,36183.55078125,45000
2021-06-18,36251.30078125,36360.6015625,35796.6015625,36287.1484375,48000
2021-06-21,36056.8984375,36456.1484375,36034.3984375,36377.6015625,35500
2021-06-22,36534.0,36565.25,36244.44921875,36299.6484375,34500
2021-06-23,36418.6484375,36437.3515625,36111.1484375,36188.75,28100
2021-06-24,36278.3515625,36302.55078125,36130.55078125,36242.55078125,33500
2021-06-25,36298.1015625,36329.25,35975.6484375,36006.55078125,24100
2021-06-28,36104.19921875,36159.75,35955.8984375,36054.44921875,24500
2021-06-29,36059.44921875,36336.1484375,36035.3515625,36234.55078125,35700
2021-06-30,36355.44921875,36425.44921875,36033.6015625,36093.19921875,31700
2021-07-01,36197.3515625,36283.0,36097.19921875,36234.8984375,26300
2021-07-02,36298.55078125,36328.25,36053.3515625,36216.69921875,26800
2021-07-06,36364.44921875,36413.6015625,36198.80078125,36238.5,24400
2021-07-07,36163.1015625,36503.94921875,36105.3984375,36447.05078125,31200
2021-07-08,36337.6484375,36440.3515625,36120.6015625,36179.1015625,33600
2021-07-09,36135.6015625,36316.55078125,36083.19921875,36184.3984375,23000
2021-07-12,36301.1015625,36339.69921875,36086.8984375,36176.6484375,21600
2021-07-13,36320.6484375,36329.05078125,36066.1015625,36110.30078125,20200
2021-07-14,36124.75,36153.19921875,35912.25,36073.19921875,29413300
2021-07-15,36181.1484375,36223.19921875,35948.3984375,36182.94921875,40700
2021-07-16,36300.3515625,36418.69921875,36139.6015625,36253.55078125,49000
2021-07-19,36073.3515625,36295.3515625,36054.75,36180.3984375,26600
2021-07-20,36189.80078125,36403.1484375,36110.6484375,36230.25,34200
2021-07-22,36429.19921875,36734.0,36205.55078125,36263.6015625,37000
2021-07-23,36327.80078125,36683.6015625,36210.5,36558.6484375,59900
2021-07-26,36639.1484375,36746.5,36459.05078125,36486.75,62700
2021-07-27,36551.44921875,36620.30078125,36307.3515625,36360.80078125,36900
2021-07-28,36418.1484375,36489.05078125,36194.6484375,36360.3515625,28300
2021-07-29,36372.6015625,36469.19921875,35955.8515625,35990.05078125,30300
2021-07-30,36055.69921875,36246.1015625,35859.8984375,36051.8984375,34800
2021-08-02,36250.1484375,36385.44921875,36123.69921875,36199.94921875,32200
2021-08-03,36264.1015625,36885.55078125,36196.30078125,36826.05078125,51000
2021-08-04,36909.05078125,36935.6484375,36429.3984375,36482.44921875,32600
2021-08-05,36626.8984375,36781.55078125,36320.8984375,36701.44921875,60500
2021-08-06,36724.1484375,36813.3515625,36596.94921875,36669.80078125,41200
2021-08-09,36816.6484375,37016.94921875,36521.30078125,36691.8984375,31046100
2021-08-10,36784.3515625,36790.3984375,36286.1484375,36537.25,29500
2021-08-11,36597.25,36641.69921875,36088.25,36425.8515625,27200
2021-08-12,36537.0,36696.05078125,36457.0,36521.8515625,38900
2021-08-13,36674.8515625,36907.8515625,36575.80078125,36842.05078125,40600
2021-08-16,36844.1484375,37063.30078125,36703.3515625,36954.25,20300
2021-08-17,37014.44921875,37514.0,36979.6015625,37478.55078125,31000
2021-08-18,37571.6484375,37878.8515625,37538.8984375,37738.30078125,46300
2021-08-20,37469.25,38741.44921875,37401.30078125,38596.05078125,54000
2021-08-23,38780.30078125,38913.75,38311.69921875,38489.5,33200
2021-08-24,38578.8515625,38675.05078125,38124.6015625,38232.80078125,26300
2021-08-25,38271.69921875,38663.30078125,38264.30078125,38448.1015625,27000
2021-08-26,38403.5,38864.19921875,38398.75,38670.69921875,37100
2021-08-27,38743.25,38884.55078125,38549.1484375,38819.5,24900
2021-08-30,38945.1484375,39172.94921875,38915.3984375,39150.19921875,27000
2021-08-31,39168.55078125,39615.0,39105.69921875,39529.69921875,48200
2021-09-01,39701.44921875,39821.1484375,39464.8984375,39644.69921875,32900
2021-09-02,39713.55078125,40323.6484375,39648.80078125,40296.3984375,40600
2021-09-03,40371.1484375,40441.8515625,40103.1015625,40226.25,27400
2021-09-06,40388.1015625,40514.0,40130.8515625,40169.05078125,20700
2021-09-07,40296.3515625,40642.6484375,40237.8515625,40289.8515625,52500
2021-09-08,40377.55078125,40434.69921875,39910.69921875,40263.44921875,28500
2021-09-09,40122.0,40610.3984375,40120.30078125,40577.94921875,33400
2021-09-13,40569.8984375,40754.80078125,40474.6484375,40592.3515625,29900
2021-09-14,40718.80078125,40750.6015625,40444.05078125,40469.55078125,34800
2021-09-15,40626.8515625,40645.3984375,40404.30078125,40504.5,31000
2021-09-16,40494.25,41402.30078125,40453.69921875,41007.6015625,161000
2021-09-17,41187.3515625,41406.1015625,40704.1015625,40798.8984375,99300
2021-09-20,40716.3515625,41535.0,40631.94921875,41169.69921875,85600
2021-09-21,41239.3984375,41676.80078125,41108.19921875,41619.94921875,70800
2021-09-22,41801.80078125,41821.8984375,41429.8515625,41507.25,67800
2021-09-23,41743.44921875,41775.75,41502.05078125,41548.80078125,47700
2021-09-24,41614.3984375,41649.05078125,41034.6015625,41090.8984375,43200
2021-09-27,41268.19921875,41273.0,40657.8515625,40720.6015625,34100
2021-09-28,40872.1484375,41085.8984375,40537.80078125,40682.94921875,33400
2021-09-29,40570.05078125,40830.69921875,40413.6484375,40472.1484375,29200
