date,open,high,low,close,volume
2021-03-30,3914.25,3984.64990234375,3907.75,3963.0,2213600
2021-03-31,3954.800048828125,4025.39990234375,3931.75,3977.199951171875,1305500
2021-04-01,4010.5,4204.39990234375,4008.75,4189.14990234375,2694500
2021-04-05,4206.10009765625,4241.85009765625,4101.14990234375,4226.39990234375,3060100
2021-04-06,4266.35009765625,4305.5,4231.4501953125,4286.9501953125,2682600
2021-04-07,4306.7001953125,4363.5,4296.10009765625,4325.4501953125,1637800
2021-04-08,4365.35009765625,4588.85009765625,4363.0498046875,4494.9501953125,3966300
2021-04-09,4510.2001953125,4550.4501953125,4399.2998046875,4467.2998046875,2361800
2021-04-12,4372.64990234375,4378.4501953125,4166.4501953125,4196.0,2355200
2021-04-13,4215.25,4347.35009765625,4200.25,4337.89990234375,1768300
2021-04-15,4378.10009765625,4463.75,4318.7001953125,4397.4501953125,2569800
2021-04-16,4422.2998046875,4500.85009765625,4394.5,4434.0,1782800
2021-04-19,4302.35009765625,4403.64990234375,4266.85009765625,4366.10009765625,1702000
2021-04-20,4420.9501953125,4457.35009765625,4332.7001953125,4384.39990234375,1426100
2021-04-22,4380.60009765625,4497.7001953125,4367.5498046875,4460.89990234375,1812100
2021-04-23,4471.75,4528.2001953125,4396.64990234375,4446.85009765625,1841300
2021-04-26,4491.0,4582.14990234375,4488.85009765625,4536.2998046875,2758100
2021-04-27,4567.5,4668.0,4562.5,4659.25,2640200
2021-04-28,4690.85009765625,4690.85009765625,4598.14990234375,4645.0498046875,2041400
2021-04-29,4698.9501953125,4868.89990234375,4695.10009765625,4855.2998046875,4244600
2021-04-30,4819.60009765625,4936.5,4791.64990234375,4847.9501953125,4345100
2021-05-03,4825.7998046875,4973.2001953125,4786.0498046875,4952.4501953125,3391600
2021-05-04,4994.5498046875,5048.2998046875,4886.35009765625,4921.64990234375,3744700
2021-05-06,4980.25,5118.2001953125,4964.60009765625,5095.0,2874400
2021-05-07,5180.9501953125,5387.10009765625,5176.35009765625,5335.85009765625,5469200
2021-05-10,5425.39990234375,5519.0498046875,5405.4501953125,5503.35009765625,4472800
2021-05-12,5479.85009765625,5518.0,5228.0498046875,5290.4501953125,3676000
2021-05-14,5332.5498046875,5332.5498046875,4984.39990234375,5091.35009765625,4926300
2021-05-17,5117.9501953125,5222.4501953125,5036.25,5207.75,2874500
2021-05-18,5305.2998046875,5365.64990234375,5231.89990234375,5294.39990234375,2785000
2021-05-19,5279.4501953125,5318.89990234375,5218.64990234375,5245.9501953125,1876100
2021-05-21,5119.4501953125,5147.85009765625,5090.2001953125,5099.14990234375,1493000
2021-05-24,5098.4501953125,5098.4501953125,5004.2998046875,5068.60009765625,2627300
2021-05-26,5062.0498046875,5070.7001953125,4987.25,5004.75,2003500
2021-05-27,5017.14990234375,5095.25,4987.2998046875,5043.2998046875,2322400
2021-05-28,5145.7001953125,5188.5498046875,5032.5,5055.75,2178600
2021-06-01,5181.85009765625,5186.4501953125,5034.64990234375,5121.64990234375,2203200
2021-06-02,5126.2001953125,5252.75,5124.2998046875,5233.2998046875,1277100
2021-06-03,5275.5,5322.39990234375,5234.64990234375,5268.0498046875,1322700
2021-06-04,5259.4501953125,5360.75,5235.5,5339.14990234375,1496600
2021-06-07,5379.10009765625,5421.5,5305.7001953125,5315.5,1864100
2021-06-08,5327.2998046875,5327.2998046875,5189.89990234375,5258.89990234375,1496600
2021-06-09,5276.35009765625,5306.75,5173.4501953125,5209.4501953125,1920000
2021-06-10,5247.7001953125,5306.60009765625,5244.7001953125,5265.2001953125,1560700
2021-06-11,5308.14990234375,5421.35009765625,5262.64990234375,5406.7998046875,3638300
2021-06-14,5369.75,5392.5,5200.25,5371.60009765625,2813300
