ticker,health,source,mean_auc,min_fold_auc,n_folds,fallback_cohort
MOTILALOFS,UNAVAILABLE,own,,,0,
MPHASIS,UNAVAILABLE,own,,,0,
MUTHOOTFIN,UNAVAILABLE,own,,,0,
NAM-INDIA,UNAVAILABLE,own,,,0,
NATIONALUM,UNAVAILABLE,own,,,0,
NAUKRI,UNAVAILABLE,own,,,0,
NBCC,UNAVAILABLE,own,,,0,
NESTLEIND,UNAVAILABLE,own,,,0,
NHPC,UNAVAILABLE,own,,,0,
NMDC,UNAVAILABLE,own,,,0,
NTPC,UNAVAILABLE,own,,,0,
NUVAMA,UNAVAILABLE,own,,,0,
NYKAA,UNAVAILABLE,own,,,0,
OBEROIRLTY,UNAVAILABLE,own,,,0,
OFSS,UNAVAILABLE,own,,,0,
OIL,UNAVAILABLE,own,,,0,
ONGC,UNAVAILABLE,own,,,0,
PAGEIND,UNAVAILABLE,own,,,0,
PATANJALI,UNAVAILABLE,own,,,0,
PAYTM,UNAVAILABLE,own,,,0,
PERSISTENT,UNAVAILABLE,own,,,0,
PETRONET,UNAVAILABLE,own,,,0,
PFC,UNAVAILABLE,own,,,0,
PGEL,UNAVAILABLE,own,,,0,
PHOENIXLTD,UNAVAILABLE,own,,,0,
PIDILITIND,UNAVAILABLE,own,,,0,
PIIND,UNAVAILABLE,own,,,0,
PNB,UNAVAILABLE,own,,,0,
PNBHOUSING,UNAVAILABLE,own,,,0,
POLICYBZR,UNAVAILABLE,own,,,0,
POLYCAB,UNAVAILABLE,own,,,0,
POWERGRID,UNAVAILABLE,own,,,0,
POWERINDIA,UNAVAILABLE,own,,,0,
PPLPHARMA,UNAVAILABLE,own,,,0,
PREMIERENE,UNAVAILABLE,own,,,0,
PRESTIGE,UNAVAILABLE,own,,,0,
RBLBANK,UNAVAILABLE,own,,,0,
RECLTD,UNAVAILABLE,own,,,0,
RELIANCE,UNAVAILABLE,own,,,0,
RVNL,UNAVAILABLE,own,,,0,
SAIL,UNAVAILABLE,own,,,0,
SAMMAANCAP,UNAVAILABLE,own,,,0,
SBICARD,UNAVAILABLE,own,,,0,
SBILIFE,UNAVAILABLE,own,,,0,
SBIN,UNAVAILABLE,own,,,0,
SHREECEM,UNAVAILABLE,own,,,0,
SHRIRAMFIN,UNAVAILABLE,own,,,0,
SIEMENS,UNAVAILABLE,own,,,0,
SOLARINDS,UNAVAILABLE,own,,,0,
SONACOMS,UNAVAILABLE,own,,,0,
SRF,UNAVAILABLE,own,,,0,
SUNPHARMA,UNAVAILABLE,own,,,0,
SUPREMEIND,UNAVAILABLE,own,,,0,
SUZLON,UNAVAILABLE,own,,,0,
SWIGGY,UNAVAILABLE,own,,,0,
TATACONSUM,UNAVAILABLE,own,,,0,
TATAELXSI,UNAVAILABLE,own,,,0,
TATAPOWER,UNAVAILABLE,own,,,0,
TATASTEEL,UNAVAILABLE,own,,,0,
TATATECH,UNAVAILABLE,own,,,0,
TCS,UNAVAILABLE,own,,,0,
TECHM,UNAVAILABLE,own,,,0,
TIINDIA,UNAVAILABLE,own,,,0,
TITAN,UNAVAILABLE,own,,,0,
TMPV,UNAVAILABLE,own,,,0,
TORNTPHARM,UNAVAILABLE,own,,,0,
TORNTPOWER,UNAVAILABLE,own,,,0,
TRENT,UNAVAILABLE,own,,,0,
TVSMOTOR,UNAVAILABLE,own,,,0,
ULTRACEMCO,UNAVAILABLE,own,,,0,
UNIONBANK,UNAVAILABLE,own,,,0,
UNITDSPR,UNAVAILABLE,own,,,0,
UNOMINDA,UNAVAILABLE,own,,,0,
UPL,UNAVAILABLE,own,,,0,
VBL,UNAVAILABLE,own,,,0,
VEDL,UNAVAILABLE,own,,,0,
VMM,UNAVAILABLE,own,,,0,
VOLTAS,UNAVAILABLE,own,,,0,
WAAREEENER,UNAVAILABLE,own,,,0,
WIPRO,UNAVAILABLE,own,,,0,
YESBANK,UNAVAILABLE,own,,,0,
ZYDUSLIFE,UNAVAILABLE,own,,,0,
