signal_id,old_status,new_status,old_pnl,new_pnl,delta,peak,trail_budget,trail_armed_at_close
SIG-2026-03-31-020-Coal_vs_OMCs,STOPPED_OUT_TRAIL,STOPPED_OUT_TRAIL,-4.04,-4.04,0.0,7.07,2.38,YES
SIG-2026-03-31-003-Defence_vs_IT,STOPPED_OUT_TRAIL,STOPPED_OUT_TRAIL,8.66,8.66,0.0,11.11,1.96,YES
BRK-2026-04-20-KAYNES,STOPPED_OUT,STOPPED_OUT,-1.33,-1.33,0.0,1.41,2.0,NO
BRK-2026-04-20-PATANJALI,STOPPED_OUT_TRAIL,STOPPED_OUT_TRAIL,-0.48,-0.48,0.0,2.14,2.0,YES
BRK-2026-04-20-TMPV,STOPPED_OUT,STOPPED_OUT,-1.27,-1.27,0.0,0.83,2.0,NO
BRK-2026-04-20-YESBANK,OPEN,OPEN,2.76,2.76,0.0,4.46,2.0,YES
BRK-2026-04-20-IEX,OPEN,OPEN,5.2,5.2,0.0,5.67,2.0,YES
BRK-2026-04-20-BHEL,OPEN,OPEN,5.32,5.32,0.0,5.32,2.0,YES
