signal_id,entry_date,msi_regime,zone_approx,long_tickers,short_tickers,entry_score_raw,trust_modifier,entry_score_adj,realized_pnl_pct,days_held,ret_per_day
SIG-2026-03-31-020-Coal_vs_OMCs,2026-04-01,MACRO_NEUTRAL,NEUTRAL,COALINDIA,"BPCL,HPCL",0,0,0,-4.04,6,-0.6733333333333333
SIG-2026-03-31-003-Defence_vs_IT,2026-04-01,MACRO_NEUTRAL,NEUTRAL,"HAL,BEL,BDL","TCS,INFY,WIPRO",0,5,5,8.66,13,0.6661538461538462
SIG-2026-04-15-004-Upstream_vs_Downstream,2026-04-15,,,"ONGC,OIL","IOC,BPCL",0,0,0,-1.58,1,-1.58
BRK-2026-04-20-KAYNES,2026-04-20,,,,KAYNES,0,0,0,-1.33,1,-1.33
BRK-2026-04-20-PATANJALI,2026-04-20,,,,PATANJALI,0,0,0,-0.48,1,-0.48
BRK-2026-04-20-TMPV,2026-04-20,,,,TMPV,0,0,0,-1.27,1,-1.27
BRK-2026-04-20-YESBANK,2026-04-20,,,,YESBANK,0,0,0,2.76,1,2.76
BRK-2026-04-20-IEX,2026-04-20,,,,IEX,0,0,0,5.2,1,5.2
BRK-2026-04-20-BHEL,2026-04-20,,,BHEL,,0,0,0,5.32,1,5.32
