date,regime_zone,signal_score
2021-12-03,EUPHORIA,8.8934
2021-12-06,EUPHORIA,120.9395
2021-12-07,EUPHORIA,33.8942
2021-12-08,EUPHORIA,31.7356
2021-12-09,RISK-OFF,-55.7822
2021-12-10,CAUTION,-6.3874
2021-12-13,RISK-OFF,-20.0645
2021-12-14,RISK-OFF,-13.1356
2021-12-15,RISK-ON,7.2963
2021-12-16,EUPHORIA,38.4934
2021-12-17,RISK-OFF,-10.3036
2021-12-20,RISK-OFF,-107.2545
2021-12-21,NEUTRAL,1.3661
2021-12-22,EUPHORIA,18.6343
2021-12-23,EUPHORIA,25.204
2021-12-27,RISK-OFF,-29.1037
2021-12-28,RISK-OFF,-11.9371
2021-12-29,RISK-OFF,-35.8295
2021-12-30,EUPHORIA,120.2893
2021-12-31,RISK-OFF,-31.4266
2022-01-03,RISK-OFF,-80.5336
2022-01-04,EUPHORIA,8.1702
2022-01-05,RISK-OFF,-90.755
2022-01-06,EUPHORIA,33.9696
2022-01-07,EUPHORIA,34.7282
2022-01-10,RISK-OFF,-75.216
2022-01-11,EUPHORIA,75.9954
2022-01-12,RISK-OFF,-34.2609
2022-01-13,EUPHORIA,86.9247
2022-01-14,EUPHORIA,33.5601
2022-01-18,RISK-OFF,-38.3386
2022-01-19,EUPHORIA,132.2647
2022-01-20,EUPHORIA,55.0559
2022-01-21,RISK-OFF,-33.5387
2022-01-24,RISK-OFF,-46.6491
2022-01-25,EUPHORIA,65.9109
2022-01-26,EUPHORIA,10.9271
2022-01-27,RISK-OFF,-22.9924
2022-01-28,RISK-OFF,-56.7168
2022-01-31,NEUTRAL,2.5361
2022-02-01,EUPHORIA,40.1774
2022-02-02,RISK-OFF,-108.4094
2022-02-03,EUPHORIA,56.8201
2022-02-04,EUPHORIA,65.1224
2022-02-07,EUPHORIA,68.0036
2022-02-08,EUPHORIA,17.9772
2022-02-09,EUPHORIA,45.8469
2022-02-10,EUPHORIA,27.5542
2022-02-11,NEUTRAL,-3.1019
2022-02-14,RISK-OFF,-18.5604
2022-02-15,EUPHORIA,19.7812
