date,ticker,sector_index,z,direction,today_resid,today_ret,next_ret,persistent_T1,volume_z,volume_z_T1,sector_index_ret_T,sector_index_z,earnings_in_window,india_vix_z,regime,bulk_deal_T,bulk_deal_T1,bulk_deal_window,bulk_deal_side_T,bulk_deal_side_window,bulk_deal_count_window,insider_trade_T,insider_trade_window,insider_promoter_window,insider_director_window,insider_side_window,insider_count_window,insider_value_window_inr
2021-07-30,360ONE,,4.7797551026,UP,9.6264742575,8.871420976,1.5021325362,False,1.817744493359307,-0.07687868265274415,,,False,,RISK-OFF,,,,,,,False,False,False,False,,0,
2021-08-04,360ONE,,5.5991812822,UP,16.5084693978,14.872107385,-3.4033913915,False,26.665711309752652,0.9779589928375716,,,True,,RISK-OFF,,,,,,,False,False,False,False,,0,
2022-09-16,360ONE,,6.3073029752,UP,9.2680370467,6.5887424904,0.0357454167,False,3.476020133859592,0.1658090971486579,,,False,,NEUTRAL,,,,,,,True,True,False,False,Sell,1,9075000.0
2023-08-31,360ONE,,-4.5853691643,DOWN,-5.3324291948,-3.5618727375,-2.0006286377,False,6.864123915725064,1.996999635088403,,,False,,RISK-OFF,,,,,,,True,True,False,False,Mixed,11,87546129.0
2021-12-09,ABB,,4.0904608439,UP,9.9558269458,9.9223425554,-1.5649578628,False,3.8206518666555733,1.085092228356395,,,False,,RISK-OFF,,,,,,,False,False,False,False,,0,
2022-05-05,ABB,,7.9517789162,UP,10.2392000089,10.2583898978,1.4902500743,False,14.956533600157444,3.6286964012801644,,,True,,RISK-OFF,,,,,,,False,False,False,False,,0,
2022-08-24,ABB,,5.7130508204,UP,6.2604570741,6.706513925,2.7430594839,False,2.251527888529719,1.9946409104057023,,,False,,NEUTRAL,,,,,,,False,False,False,False,,0,
2023-07-20,ABB,,-6.8918548245,DOWN,-7.3844509309,-6.4426327258,0.5185493577,False,5.666897173766161,0.34819651537013185,,,False,,CAUTION,,,,,,,False,False,False,False,,0,
2024-02-21,ABB,,5.4371679742,UP,11.4747572427,10.1712814542,8.8330324189,False,23.9240514865223,6.928266524229945,,,True,,RISK-OFF,,,,,,,False,False,False,False,,0,
2024-06-14,ABB,,4.2634975548,UP,4.9552285899,6.7885319818,-1.6962351784,False,1.6660744787380413,,,,False,,NEUTRAL,,,,,,,False,False,False,False,,0,
2025-01-30,ABB,,-5.0058804498,DOWN,-8.6355391885,-6.4066285633,2.7153291657,False,1.7476691396036321,0.5302291271757069,,,False,,EUPHORIA,,,,,,,False,False,False,False,,0,
2025-08-04,ABB,,-5.5682471807,DOWN,-7.0171833509,-5.4756310057,-0.1669143083,False,10.059208405133164,1.155853348013139,,,False,-0.8427908557860645,EUPHORIA,,,,,,,False,False,False,False,,0,
2025-11-07,ABB,,-4.8155428122,DOWN,-3.8342620781,-4.045524101,-0.4883883185,False,8.65099630913381,-0.3089991110136864,,,True,1.6778358210310296,RISK-ON,,,,,,,False,False,False,False,,0,
2026-01-29,ABB,,5.0190217766,UP,6.9859881693,8.5357390701,1.9090244794,False,13.06222477092044,1.161263553869227,,,False,1.476055135265239,CAUTION,,,,,,,False,False,False,False,,0,
2021-08-23,ABCAPITAL,,-4.2989651209,DOWN,-10.2424890997,-8.9195374237,2.5744526439,False,0.5921652536729257,0.048569351977735827,,,False,,CAUTION,,,,,,,False,True,True,False,Buy,1,5619700.0
2021-11-02,ABCAPITAL,,4.5204695808,UP,6.5946431892,6.9346749004,-1.127823835,False,2.416927988772726,-0.4583658005030643,,,True,,RISK-OFF,,,,,,,False,False,False,False,,0,
2023-11-17,ABCAPITAL,,-5.593152171,DOWN,-7.5236500249,-5.6567329871,0.1169914898,False,2.6251951900109916,-0.3098074176627294,,,False,,NEUTRAL,,,,,,,False,False,False,False,,0,
2024-02-02,ABCAPITAL,,4.6579217701,UP,8.1595963712,8.0910994943,-1.1921314569,False,7.839527314398172,0.07113439012341763,,,True,,RISK-OFF,,,,,,,False,False,False,False,,0,
2024-03-06,ABCAPITAL,,-5.0845689223,DOWN,-6.910923611,-5.7552099228,0.6355397484,False,3.0742397422156884,-0.27572225046040116,,,False,,RISK-ON,,,,,,,False,False,False,False,,0,
2024-04-02,ABCAPITAL,,4.6036956218,UP,9.9729233096,10.5581502908,1.5667713746,False,7.941568587144813,0.9288574165040018,,,False,,NEUTRAL,,,,,,,False,False,False,False,,0,
2024-10-30,ABCAPITAL,,4.3364908636,UP,6.8638403567,5.3102542184,-5.6368109137,False,6.049598531483775,3.5728360671798836,,,True,,NEUTRAL,,,,,,,False,False,False,False,,0,
2025-08-04,ABCAPITAL,,6.3168183653,UP,9.6314293202,10.7377274156,1.2749102666,False,5.1435206668052595,1.8196156648399382,,,True,-0.8427908557860645,EUPHORIA,,,,,,,False,False,False,False,,0,
2025-10-30,ABCAPITAL,,5.613085665,UP,5.9601580404,5.1480053502,-0.7955861943,False,5.329928704065365,1.7005289629897893,,,True,1.2066286333835385,RISK-OFF,,,,,,,False,False,False,False,,0,
2023-11-28,ADANIENSOL,NIFTYENERGY,14.6212360148,UP,14.908410587,18.6531346254,1.2252961415,False,4.167878470918859,5.265000257042004,0.024307759224405867,2.5714681474734467,False,,EUPHORIA,,,,,,,False,False,False,False,,0,
2023-12-05,ADANIENSOL,NIFTYENERGY,4.1685830287,UP,15.331737424,19.995574833,7.3681319269,False,8.059122373939815,6.800316397755372,0.032356881377656244,3.2655883988766483,False,,NEUTRAL,,,,,,,False,False,False,False,,0,
2024-06-04,ADANIENSOL,NIFTYENERGY,-5.4070471522,DOWN,-5.8648923903,-19.9967253447,-2.6493416557,False,3.201488981805443,5.832025770857147,-0.1246524018195887,-8.06988141948549,False,,RISK-ON,,,,,,,False,True,True,False,Buy,3,7340753324.0
2024-06-05,ADANIENSOL,NIFTYENERGY,-4.0378832547,DOWN,-6.7938998319,-2.6493416557,5.1854549704,True,5.832025770857147,2.4237885172329996,0.02892427871512715,1.317676731843174,False,,RISK-OFF,,,,,,,True,True,True,False,Buy,3,7340753324.0
2024-07-30,ADANIENSOL,NIFTYENERGY,4.1381140139,UP,5.7424390075,6.9347475287,1.1689949443,False,2.458614788805403,0.7707424182909333,0.010811841795374866,0.4289259937351631,True,,CAUTION,,,,,,,False,False,False,False,,0,
2024-08-01,ADANIENSOL,NIFTYENERGY,6.0650563679,UP,11.2326699312,12.0513067492,-1.0508079405,False,9.427119661605781,1.449881715857783,0.01968045814449315,0.8291928310207244,False,,NEUTRAL,,,,,,,False,False,False,False,,0,
2024-11-21,ADANIENSOL,NIFTYENERGY,-4.4830150103,DOWN,-16.3623544394,-19.9988514984,-6.9272123045,False,11.267769112042139,6.84079837780288,-0.021727916818597537,-1.757009317256216,False,,CAUTION,,,,,,,False,False,False,False,,0,
2025-08-18,ADANIENSOL,NIFTYENERGY,7.2893158863,UP,4.756793477,5.536222336,1.1541999642,False,-0.36535965532129483,-0.6792768794629346,0.0004104678596978939,0.12212368673258814,False,-0.43405918891876016,NEUTRAL,,,,,,,False,False,False,False,,0,
2026-01-23,ADANIENSOL,NIFTYENERGY,-5.9817091726,DOWN,-7.9298395084,-12.1215373125,4.4788929288,False,7.278370922011892,,-0.019222426252703984,-2.025686365533487,True,2.419559352050441,NEUTRAL,,,,,,,False,False,False,False,,0,
2021-08-06,ADANIENT,,8.6677775396,UP,7.2272126875,7.281742344,-2.8145647537,False,0.569162953974032,-0.3789018270929553,,,True,,RISK-ON,,,,,,,False,True,True,False,,1,378000000.0
2022-06-14,ADANIENT,,4.7221917299,UP,8.3051643007,5.6112543074,-0.53950534,False,5.70640426509199,-0.5602262144876318,,,False,,EUPHORIA,,,,,,,False,False,False,False,,0,
2022-10-03,ADANIENT,,-4.4866322043,DOWN,-9.9524507724,-8.636326399,2.5464772932,False,2.3161170468633054,1.3306821411061045,,,False,,EUPHORIA,,,,,,,False,True,True,False,Buy,1,1197290272.0
2023-01-27,ADANIENT,,-8.6439892462,DOWN,-16.7303241138,-18.5160657919,4.7583778323,False,10.886664206672041,9.277479254780978,,,False,,RISK-OFF,,,,,,,False,False,False,False,,0,
2023-02-01,ADANIENT,,-6.0873310346,DOWN,-26.8921681793,-28.1969743205,-26.6982051341,False,3.2726334876659835,8.849935238876437,,,False,,RISK-ON,,,,,,,False,False,False,False,,0,
2023-05-22,ADANIENT,,7.7957664499,UP,19.0602448381,18.9182284652,13.223854488,False,2.8773930281002493,2.9515084774293787,,,False,,EUPHORIA,,,,,,,False,False,False,False,,0,
2023-06-23,ADANIENT,,-4.2127177976,DOWN,-5.5117371449,-6.8286611287,2.7781037135,False,1.842146639322994,0.4138405091460812,,,False,,RISK-OFF,,,,,,,False,False,False,False,,0,
2023-11-28,ADANIENT,,4.0234771536,UP,6.7213751101,8.8993248871,-1.1099573003,False,4.766772799294043,0.9163691148263678,,,False,,EUPHORIA,,,,,,,False,False,False,False,,0,
2023-12-05,ADANIENT,,7.1710267246,UP,16.6492527121,16.9149078718,-2.5478671564,False,9.4511765436497,4.945571944984375,,,False,,NEUTRAL,,,,,,,False,False,False,False,,0,
2024-05-23,ADANIENT,,4.1407096944,UP,7.361461947,7.843172645,-0.0693834918,False,5.634755776920548,1.5190815405406521,,,False,,NEUTRAL,,,,,,,False,False,False,False,,0,
