sub_variant,n_trades,wins,hit_rate,sharpe_point,sharpe_lo,sharpe_hi,binomial_p,alpha_per_test,passes
a,718,424,0.5905292479108635,3.435132391949768,1.8780810355150621,4.994416403756381,1.3876131830299807e-06,0.0008333333333333334,True
b,718,417,0.5807799442896936,2.499246738470742,0.9239525908674593,4.046986056520886,1.7039771413396717e-05,0.0008333333333333334,True
c,53,29,0.5471698113207547,2.312018539739458,-3.35735544973766,8.155995025310036,0.5831321542611763,0.0008333333333333334,False
d,258,153,0.5930232558139535,2.8141061702218,0.2698794753046847,5.428971466933274,0.003353534420851531,0.0008333333333333334,False
