date,ticker,classification,z_score,trade_rec,regime,sector,signal_id,expected_return,actual_return,event_geometry
2026-03-02,SBIN,POSSIBLE_OPPORTUNITY,-0.5681650495568951,SHORT,CAUTION,,BRK-2026-03-02-SBIN,-0.0012157513595175856,-0.009819361934986712,OVERSHOOT
2026-03-03,ABB,POSSIBLE_OPPORTUNITY,-0.449322203732997,SHORT,RISK-OFF,,BRK-2026-03-03-ABB,-0.0023139216146862464,-0.014819693726329656,OVERSHOOT
2026-03-03,ABCAPITAL,POSSIBLE_OPPORTUNITY,-0.5714977847744291,SHORT,RISK-OFF,,BRK-2026-03-03-ABCAPITAL,-0.0036919661847149127,-0.018435203595518996,OVERSHOOT
2026-03-03,ADANIENSOL,POSSIBLE_OPPORTUNITY,-0.9899127190997775,SHORT,RISK-OFF,,BRK-2026-03-03-ADANIENSOL,-0.004806636753082859,-0.0388018392305425,OVERSHOOT
2026-03-03,ADANIENT,POSSIBLE_OPPORTUNITY,-0.28266876130910423,SHORT,RISK-OFF,,BRK-2026-03-03-ADANIENT,-0.008485224712836909,-0.017207859344827225,OVERSHOOT
2026-03-03,ADANIPORTS,POSSIBLE_OPPORTUNITY,-0.9537678647433466,SHORT,RISK-OFF,,BRK-2026-03-03-ADANIPORTS,-0.003855755026548221,-0.03333330123068705,OVERSHOOT
2026-03-03,ALKEM,POSSIBLE_OPPORTUNITY,-0.6687660159910689,SHORT,RISK-OFF,,BRK-2026-03-03-ALKEM,-0.003022634511589811,-0.013033070307651388,OVERSHOOT
2026-03-03,AMBUJACEM,POSSIBLE_OPPORTUNITY,-0.634052025125521,SHORT,RISK-OFF,,BRK-2026-03-03-AMBUJACEM,-0.0026283657970991503,-0.019284560380071925,OVERSHOOT
2026-03-03,ASHOKLEY,POSSIBLE_OPPORTUNITY,-0.21497332661319374,SHORT,RISK-OFF,,BRK-2026-03-03-ASHOKLEY,-0.0052271179510886626,-0.009900575728334023,OVERSHOOT
2026-03-03,ASIANPAINT,POSSIBLE_OPPORTUNITY,-2.1084705223110647,SHORT,RISK-OFF,,BRK-2026-03-03-ASIANPAINT,-0.0016283451580686613,-0.02907998271843533,OVERSHOOT
2026-03-03,AUROPHARMA,POSSIBLE_OPPORTUNITY,-0.18122274720137393,SHORT,RISK-OFF,,BRK-2026-03-03-AUROPHARMA,-0.004689240212758298,-0.008194034578785913,OVERSHOOT
2026-03-03,AXISBANK,POSSIBLE_OPPORTUNITY,-0.21044776263088277,SHORT,RISK-OFF,,BRK-2026-03-03-AXISBANK,-0.0049286693897747395,-0.008382090744487761,OVERSHOOT
2026-03-03,BAJAJFINSV,POSSIBLE_OPPORTUNITY,-1.3347949886290507,SHORT,RISK-OFF,,BRK-2026-03-03-BAJAJFINSV,-0.005108053570937749,-0.025835256029525657,OVERSHOOT
2026-03-03,BAJFINANCE,POSSIBLE_OPPORTUNITY,-0.8403656493304019,SHORT,RISK-OFF,,BRK-2026-03-03-BAJFINANCE,-0.004632449326536052,-0.017722686998071693,OVERSHOOT
2026-03-03,BANDHANBNK,POSSIBLE_OPPORTUNITY,-0.6319744597937104,SHORT,RISK-OFF,,BRK-2026-03-03-BANDHANBNK,-0.0074863659556049815,-0.023738829359560835,OVERSHOOT
2026-03-03,BANKBARODA,POSSIBLE_OPPORTUNITY,-0.6002259850525311,SHORT,RISK-OFF,,BRK-2026-03-03-BANKBARODA,-0.004364453713420193,-0.02096598771258746,OVERSHOOT
2026-03-03,BHARATFORG,POSSIBLE_OPPORTUNITY,-0.5435536606028778,SHORT,RISK-OFF,,BRK-2026-03-03-BHARATFORG,-0.005745423719606697,-0.016691033465227014,OVERSHOOT
2026-03-03,BHEL,POSSIBLE_OPPORTUNITY,-0.08163396436321356,SHORT,RISK-OFF,,BRK-2026-03-03-BHEL,-0.007416499613003289,-0.010568100326634248,OVERSHOOT
2026-03-03,BIOCON,POSSIBLE_OPPORTUNITY,-0.09732183231092377,SHORT,RISK-OFF,,BRK-2026-03-03-BIOCON,-0.002321421447453943,-0.004745961118192908,OVERSHOOT
2026-03-03,BOSCHLTD,POSSIBLE_OPPORTUNITY,-1.9621321829610734,SHORT,RISK-OFF,,BRK-2026-03-03-BOSCHLTD,-0.0017166548161104106,-0.02896362388469458,OVERSHOOT
2026-03-03,BPCL,POSSIBLE_OPPORTUNITY,-1.008647537459928,SHORT,RISK-OFF,,BRK-2026-03-03-BPCL,-0.0024413093588209166,-0.02750390833260535,OVERSHOOT
2026-03-03,BRITANNIA,POSSIBLE_OPPORTUNITY,-0.3621792361748569,SHORT,RISK-OFF,,BRK-2026-03-03-BRITANNIA,-0.0022083093825996827,-0.00724698042482299,OVERSHOOT
2026-03-03,CANBK,POSSIBLE_OPPORTUNITY,-0.7993347165004758,SHORT,RISK-OFF,,BRK-2026-03-03-CANBK,-0.003645688166807772,-0.024210444664223243,OVERSHOOT
2026-03-03,CHOLAFIN,POSSIBLE_OPPORTUNITY,-0.633627515844681,SHORT,RISK-OFF,,BRK-2026-03-03-CHOLAFIN,-0.0029764726341487257,-0.01565755540312048,OVERSHOOT
2026-03-03,COALINDIA,POSSIBLE_OPPORTUNITY,-0.22327792954401257,SHORT,RISK-OFF,,BRK-2026-03-03-COALINDIA,-0.005237302071582016,-0.010217099637396034,OVERSHOOT
2026-03-03,COFORGE,POSSIBLE_OPPORTUNITY,-0.7859282005861858,SHORT,RISK-OFF,,BRK-2026-03-03-COFORGE,-0.0022405103202576917,-0.019480601033098986,OVERSHOOT
2026-03-03,COLPAL,POSSIBLE_OPPORTUNITY,-0.8196809889933647,SHORT,RISK-OFF,,BRK-2026-03-03-COLPAL,-0.0036579483318453718,-0.017564913575626524,OVERSHOOT
2026-03-03,CONCOR,POSSIBLE_OPPORTUNITY,-0.990161000679626,SHORT,RISK-OFF,,BRK-2026-03-03-CONCOR,-0.00454841089930126,-0.03359224069709501,OVERSHOOT
2026-03-03,CROMPTON,POSSIBLE_OPPORTUNITY,-0.7998666384078505,SHORT,RISK-OFF,,BRK-2026-03-03-CROMPTON,-0.0027228361030664206,-0.017064219705726996,OVERSHOOT
2026-03-03,CUMMINSIND,POSSIBLE_OPPORTUNITY,-0.5391486950823042,SHORT,RISK-OFF,,BRK-2026-03-03-CUMMINSIND,-0.0024539217703584437,-0.01663842623965307,OVERSHOOT
2026-03-03,DABUR,POSSIBLE_OPPORTUNITY,-1.2374806762197972,SHORT,RISK-OFF,,BRK-2026-03-03-DABUR,-0.0023143410284284602,-0.02102216759206244,OVERSHOOT
2026-03-03,DALBHARAT,POSSIBLE_OPPORTUNITY,-0.7214232663711213,SHORT,RISK-OFF,,BRK-2026-03-03-DALBHARAT,-0.002489462800504377,-0.016808830908178626,OVERSHOOT
2026-03-03,DELHIVERY,POSSIBLE_OPPORTUNITY,-0.41656698546000875,SHORT,RISK-OFF,,BRK-2026-03-03-DELHIVERY,-0.0013824702012993086,-0.012690355508665858,OVERSHOOT
2026-03-03,DIXON,POSSIBLE_OPPORTUNITY,-1.2067207960627284,SHORT,RISK-OFF,,BRK-2026-03-03-DIXON,-0.004001103033084019,-0.035809270516717326,OVERSHOOT
2026-03-03,DLF,POSSIBLE_OPPORTUNITY,-0.6512350724089941,SHORT,RISK-OFF,,BRK-2026-03-03-DLF,-0.00561383916331255,-0.022604891828738084,OVERSHOOT
2026-03-03,EICHERMOT,POSSIBLE_OPPORTUNITY,-1.439197208859158,SHORT,RISK-OFF,,BRK-2026-03-03-EICHERMOT,-0.001830748545388014,-0.023032270145434117,OVERSHOOT
2026-03-03,EXIDEIND,POSSIBLE_OPPORTUNITY,-1.3920284915533327,SHORT,RISK-OFF,,BRK-2026-03-03-EXIDEIND,-0.004292971151153428,-0.03440024056214422,OVERSHOOT
2026-03-03,FEDERALBNK,POSSIBLE_OPPORTUNITY,-0.8949140257433249,SHORT,RISK-OFF,,BRK-2026-03-03-FEDERALBNK,-0.0022604319285461022,-0.016341483397511673,OVERSHOOT
2026-03-03,GAIL,POSSIBLE_OPPORTUNITY,-0.6406851477785934,SHORT,RISK-OFF,,BRK-2026-03-03-GAIL,-0.007544656665433258,-0.026307977863459894,OVERSHOOT
2026-03-03,GODREJCP,POSSIBLE_OPPORTUNITY,-1.7089902643225439,SHORT,RISK-OFF,,BRK-2026-03-03-GODREJCP,-0.003049794316344437,-0.034086242299794664,OVERSHOOT
2026-03-03,GRASIM,POSSIBLE_OPPORTUNITY,-0.35675803428657005,SHORT,RISK-OFF,,BRK-2026-03-03-GRASIM,-0.0028154388542589366,-0.008036288166155838,OVERSHOOT
2026-03-03,HAVELLS,POSSIBLE_OPPORTUNITY,-1.6296312279582439,SHORT,RISK-OFF,,BRK-2026-03-03-HAVELLS,-0.004100438920710094,-0.030849600128195237,OVERSHOOT
2026-03-03,HCLTECH,POSSIBLE_OPPORTUNITY,-0.7808979890318276,SHORT,RISK-OFF,,BRK-2026-03-03-HCLTECH,-0.002294602988648386,-0.013030002090600235,OVERSHOOT
2026-03-03,HDFCBANK,POSSIBLE_OPPORTUNITY,-0.4657827060290186,SHORT,RISK-OFF,,BRK-2026-03-03-HDFCBANK,-0.0033027510199864843,-0.009405773681709377,OVERSHOOT
2026-03-03,HDFCLIFE,POSSIBLE_OPPORTUNITY,-0.7092426670370439,SHORT,RISK-OFF,,BRK-2026-03-03-HDFCLIFE,-0.0025176102036176956,-0.011184118742520463,OVERSHOOT
