trigger_id,ticker,sector,side,date,snap_t,entry_px,horizon_D,variant,exit_dt,exit_px,holding_days,outcome,bps_gross,bps_net_s1,bps_net_s1_on
,ASHOKLEY,Autos,SHORT,2023-06-20,13:00:00,170.100000,0,VWAP_TOUCH,2023-06-20 14:15:00,167.709479,0,VWAP_TOUCH,140.5362,110.5362,110.5362
,ASHOKLEY,Autos,SHORT,2023-06-20,13:00:00,170.100000,0,CLOSE,2023-06-20 15:25:00,167.300003,0,FORCED_CLOSE,164.6089,134.6089,134.6089
,ASHOKLEY,Autos,SHORT,2023-06-20,13:00:00,170.100000,1,VWAP_TOUCH,2023-06-20 14:15:00,167.709479,0,VWAP_TOUCH,140.5362,110.5362,110.5362
,ASHOKLEY,Autos,SHORT,2023-06-20,13:00:00,170.100000,1,CLOSE,2023-06-21 15:25:00,164.199996,1,FORCED_CLOSE,346.8550,316.8550,311.8550
,ASHOKLEY,Autos,SHORT,2023-06-20,13:00:00,170.100000,2,VWAP_TOUCH,2023-06-20 14:15:00,167.709479,0,VWAP_TOUCH,140.5362,110.5362,110.5362
,ASHOKLEY,Autos,SHORT,2023-06-20,13:00:00,170.100000,2,CLOSE,2023-06-22 15:25:00,164.350006,2,FORCED_CLOSE,338.0361,308.0361,298.0361
,ASHOKLEY,Autos,SHORT,2023-06-20,13:00:00,170.100000,3,VWAP_TOUCH,2023-06-20 14:15:00,167.709479,0,VWAP_TOUCH,140.5362,110.5362,110.5362
,ASHOKLEY,Autos,SHORT,2023-06-20,13:00:00,170.100000,3,CLOSE,2023-06-23 15:25:00,161.600006,3,FORCED_CLOSE,499.7057,469.7057,454.7057
,ASHOKLEY,Autos,SHORT,2023-06-20,13:00:00,170.100000,4,VWAP_TOUCH,2023-06-20 14:15:00,167.709479,0,VWAP_TOUCH,140.5362,110.5362,110.5362
,ASHOKLEY,Autos,SHORT,2023-06-20,13:00:00,170.100000,4,CLOSE,2023-06-26 15:25:00,163.750000,4,FORCED_CLOSE,373.3098,343.3098,323.3098
,ASHOKLEY,Autos,SHORT,2023-06-20,13:00:00,170.100000,5,VWAP_TOUCH,2023-06-20 14:15:00,167.709479,0,VWAP_TOUCH,140.5362,110.5362,110.5362
,ASHOKLEY,Autos,SHORT,2023-06-20,13:00:00,170.100000,5,CLOSE,2023-06-27 15:25:00,163.750000,5,FORCED_CLOSE,373.3098,343.3098,318.3098
