ticker
360ONE
AARTIIND
ABB
ABBOTINDIA
ABFRL
ACC
ADANIENT
ADANIPOWER
AMBER
ANGELONE
APOLLOHOSP
APOLLOTYRE
ASIANPAINT
ASTRAL
ATGL
ATUL
BAJAJHLDNG
BALKRISIND
BALRAMCHIN
BANKINDIA
BATAINDIA
BDL
BERGEPAINT
BHARATFORG
BHARTIARTL
BSE
BSOFT
CAMS
CANFINHOME
CDSL
CESC
CGPOWER
CHAMBLFERT
COCHINSHIP
COROMANDEL
CUB
CUMMINSIND
CYIENT
DEEPAKNTR
DELHIVERY
DELTACORP
DMART
ESCORTS
ETERNAL
FORCEMOT
FORTIS
GMRAIRPORT
GNFC
GODFRYPHLP
GRANULES
GRASIM
GUJGASLTD
HFCL
HINDCOPPER
HINDZINC
HUDCO
HYUNDAI
IDEA
IGL
IIFL
INDHOTEL
INDIACEM
INDIAMART
INDIGO
INDUSTOWER
INOXWIND
IPCALAB
IRB
IRCON
IRCTC
IREDA
JIOFIN
JKCEMENT
JSL
JSWENERGY
JUBLFOOD
KALYANKJIL
KEI
KFINTECH
KPITTECH
L&TFH
LALPATHLAB
LICHSGFIN
LTF
LTIM
LTTS
M&MFIN
MANAPPURAM
MAXHEALTH
MAZDOCK
MCDOWELL-N
MCX
METROPOLIS
MGL
MRF
NAM-INDIA
NAUKRI
NAVINFLUOR
NBCC
NCC
NYKAA
OFSS
OIL
PAGEIND
PATANJALI
PAYTM
PGEL
PIDILITIND
PIIND
PNBHOUSING
POLICYBZR
POLYCAB
POONAWALLA
POWERINDIA
PPLPHARMA
PREMIERENE
PVRINOX
RAMCOCEM
RBLBANK
RVNL
SAMMAANCAP
SBICARD
SIEMENS
SJVN
SOLARINDS
SRF
STLTECH
SUNTV
SUPREMEIND
SUZLON
SWIGGY
SYNGENE
TATACHEM
TATACOMM
TIINDIA
TITAGARH
TORNTPOWER
TRENT
UBL
UNOMINDA
UPL
VBL
VGUARD
VMM
WAAREEENER
ZEEL
ZOMATO
