symbol,event_date,horizon,regime,direction_proxy,trust_tier,entry_S,exit_S,call_entry_premium,call_exit,put_entry_premium,put_exit,straddle_entry_premium,straddle_exit,pnl_futures_bps,pnl_long_call_bps,pnl_long_put_bps,pnl_long_straddle_bps,call_premium_pct_S,put_premium_pct_S
AUBANK,2023-04-25,5,NEUTRAL,MISS_LIKE,HIGH,661.16,681.18,49.1,54.61,45.07,31.48,94.18,86.09,302.76,1121.5,-3016.55,-859.03,7.427,6.817
AUBANK,2023-04-25,10,NEUTRAL,MISS_LIKE,HIGH,661.16,697.22,49.1,58.1,45.07,19.85,94.18,77.95,545.26,1832.39,-5596.34,-1723.11,7.427,6.817
AUBANK,2023-04-25,21,NEUTRAL,MISS_LIKE,HIGH,661.16,762.74,49.1,101.58,45.07,0.0,94.18,101.58,1536.38,10687.15,-10000.0,785.98,7.427,6.817
AUBANK,2023-07-24,1,RISK-ON,MISS_LIKE,HIGH,765.14,737.07,24.0,11.01,19.34,34.63,43.35,45.64,-366.87,-5414.34,7902.47,528.0,3.137,2.528
AUBANK,2023-07-24,3,RISK-ON,MISS_LIKE,HIGH,765.14,729.94,24.0,7.84,19.34,39.01,43.35,46.85,-460.05,-6733.89,10169.55,808.91,3.137,2.528
AUBANK,2023-07-24,5,RISK-ON,MISS_LIKE,HIGH,765.14,723.16,24.0,5.29,19.34,43.66,43.35,48.95,-548.68,-7797.62,12573.83,1292.71,3.137,2.528
AUBANK,2023-07-24,10,RISK-ON,MISS_LIKE,HIGH,765.14,736.82,24.0,6.04,19.34,31.82,43.35,37.86,-370.13,-7482.27,6449.46,-1265.53,3.137,2.528
AUBANK,2023-07-24,21,RISK-ON,MISS_LIKE,HIGH,765.14,726.45,24.0,0.0,19.34,38.69,43.35,38.69,-505.67,-10000.0,10002.98,-1074.09,3.137,2.528
AUBANK,2023-10-30,1,NEUTRAL,MISS_LIKE,HIGH,688.16,664.08,17.18,6.52,12.99,26.6,30.17,33.13,-349.95,-6202.31,10482.99,980.98,2.497,1.887
AUBANK,2023-10-30,3,NEUTRAL,MISS_LIKE,HIGH,688.16,666.77,17.18,6.63,12.99,24.4,30.17,31.02,-310.82,-6142.43,8782.01,282.78,2.497,1.887
AUBANK,2023-10-30,5,NEUTRAL,MISS_LIKE,HIGH,688.16,667.37,17.18,6.06,12.99,23.6,30.17,29.66,-302.13,-6475.52,8173.63,-168.82,2.497,1.887
AUBANK,2023-10-30,10,NEUTRAL,MISS_LIKE,HIGH,688.16,697.29,17.18,17.78,12.99,6.37,30.17,24.16,132.59,351.42,-5095.31,-1993.49,2.497,1.887
