ticker,date,time,regime,days_in_regime,expected_return,actual_return,z_score,classification,action,pcr,pcr_class,oi_anomaly,oi_anomaly_type,trade_rec,trade_detail,event_geometry,direction_tested,direction_intended,direction_consistent,regime_zone,signal_id,actual_pnl_pct,actual_open_time_ist,actual_close_time_ist,actual_side,source,regime_history_value,open_price,peak_price,peak_minute,trough_price,trough_minute,close_price_15_30,price_at_14_30,peak_pct,trough_pct,close_pct,pct_at_14_30,range_first_15min,range_first_30min,peak_in_first_15min,trough_in_first_15min,validation,shape,cf_grid_avg_pnl_pct,cf_grid_avg_win,cf_best_grid_pnl_pct,cf_entry_0915_pnl_pct,cf_entry_0915_exit_reason,cf_entry_0915_exit_minute,cf_entry_0920_pnl_pct,cf_entry_0920_exit_reason,cf_entry_0920_exit_minute,cf_entry_0925_pnl_pct,cf_entry_0925_exit_reason,cf_entry_0925_exit_minute,cf_entry_0930_pnl_pct,cf_entry_0930_exit_reason,cf_entry_0930_exit_minute,cf_entry_0945_pnl_pct,cf_entry_0945_exit_reason,cf_entry_0945_exit_minute
SUNPHARMA,2026-04-24,15:30:39,CAUTION,1,-0.15,-3.11,-2.39,POSSIBLE_OPPORTUNITY,HOLD,0.91,NEUTRAL,False,,,,OVERSHOOT,FADE,NEUTRAL,,,MISSED-2026-04-24-SUNPHARMA-POSSIBLE_OPPORTUNITY,,,,,missed,,1670.4,1658.0,11.0,1616.6,217.0,1618.5,1625.7,-0.7423371647509632,-3.2207854406130374,-3.1070402298850626,-2.6760057471264393,1.933668582375476,1.933668582375476,True,False,OK,ONE_WAY_DOWN,,False,,,,,,,,,,,,,,,,
IEX,2026-04-25,09:30:36,CAUTION,1,-2.07,-4.03,-2.38,OPPORTUNITY_OVERSHOOT,ALERT,0.62,BEARISH,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-25-IEX-OPPORTUNITY_OVERSHOOT,,,,,missed,,,,,,,,,,,,,,,,,BARS_INSUFFICIENT,INVALID,,False,,,,,,,,,,,,,,,,
CROMPTON,2026-04-16,15:30:28,CAUTION,1,0.13,3.61,2.32,POSSIBLE_OPPORTUNITY,HOLD,,NEUTRAL,False,,,,,,,,CAUTION,MISSED-2026-04-16-CROMPTON-POSSIBLE_OPPORTUNITY,,,,,missed,CAUTION,252.38,262.0,361.0,249.15,66.0,261.5,260.0,3.8117124970282927,-1.2798161502496195,3.613598541881292,3.0192566764402904,2.0088755051905944,2.135668436484672,False,False,OK,ONE_WAY_UP,,False,,,,,,,,,,,,,,,,
SUNPHARMA,2026-04-25,15:15:47,CAUTION,1,-0.15,-2.99,-2.3,POSSIBLE_OPPORTUNITY,HOLD,0.91,NEUTRAL,False,,,,OVERSHOOT,FADE,NEUTRAL,,,MISSED-2026-04-25-SUNPHARMA-POSSIBLE_OPPORTUNITY,,,,,missed,,,,,,,,,,,,,,,,,BARS_INSUFFICIENT,INVALID,,False,,,,,,,,,,,,,,,,
HEROMOTOCO,2026-04-16,13:15:37,CAUTION,1,-0.22,-3.4,-2.25,POSSIBLE_OPPORTUNITY,HOLD,,NEUTRAL,False,,,,,,,,CAUTION,MISSED-2026-04-16-HEROMOTOCO-POSSIBLE_OPPORTUNITY,,,,,missed,CAUTION,5315.0,5335.5,2.0,5130.5,235.0,5168.5,5140.0,0.3857008466603951,-3.471307619943556,-2.7563499529633115,-3.2925682031984946,1.2041392285983066,2.088428974600188,True,False,OK,CHOPPY,,False,,,,,,,,,,,,,,,,
COFORGE,2026-04-25,09:30:36,CAUTION,1,-0.75,-4.96,-2.19,OPPORTUNITY_OVERSHOOT,ALERT,0.71,MILD_BEAR,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-25-COFORGE-OPPORTUNITY_OVERSHOOT,,,,,missed,,,,,,,,,,,,,,,,,BARS_INSUFFICIENT,INVALID,,False,,,,,,,,,,,,,,,,
ALKEM,2026-04-24,14:47:55,CAUTION,1,-0.23,-4.89,-2.19,OPPORTUNITY_OVERSHOOT,ALERT,0.85,MILD_BEAR,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-24-ALKEM-OPPORTUNITY_OVERSHOOT,,,,,missed,,5572.5,5576.5,0.0,5204.5,372.0,5240.0,5378.0,0.07178106774338268,-6.6038582323912065,-5.966801256168686,-3.490354419021983,1.1305518169582773,1.1305518169582773,True,False,OK,CHOPPY,,False,,,,,,,,,,,,,,,,
KPITTECH,2026-04-24,13:33:36,CAUTION,1,-1.18,-5.73,-2.13,OPPORTUNITY_OVERSHOOT,ALERT,0.89,MILD_BEAR,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-24-KPITTECH-OPPORTUNITY_OVERSHOOT,,,,,missed,,733.5,732.1,4.0,690.3,263.0,709.95,705.1,-0.19086571233810187,-5.889570552147245,-3.2106339468302596,-3.8718473074301265,1.472392638036819,2.154055896387194,True,False,OK,CHOPPY,,False,,,,,,,,,,,,,,,,
SAMMAANCAP,2026-04-24,14:30:57,CAUTION,1,-2.7,0.06,2.07,POSSIBLE_OPPORTUNITY,HOLD,1.06,NEUTRAL,False,,,,LAG,FADE,NEUTRAL,,,MISSED-2026-04-24-SAMMAANCAP-POSSIBLE_OPPORTUNITY,,,,,missed,,144.99,145.36,0.0,143.0,356.0,143.6,145.07,0.25519001310435513,-1.3725084488585482,-0.9586868059866299,0.055176219049578645,1.0138630250362086,1.3518173667149316,True,False,OK,ONE_WAY_DOWN,,False,,,,,,,,,,,,,,,,
KPITTECH,2026-04-24,13:18:25,CAUTION,1,-1.18,-5.54,-2.04,POSSIBLE_OPPORTUNITY,HOLD,0.91,NEUTRAL,False,,,,OVERSHOOT,FADE,NEUTRAL,,,MISSED-2026-04-24-KPITTECH-POSSIBLE_OPPORTUNITY,,,,,missed,,733.5,732.1,4.0,690.3,263.0,709.95,705.1,-0.19086571233810187,-5.889570552147245,-3.2106339468302596,-3.8718473074301265,1.472392638036819,2.154055896387194,True,False,OK,CHOPPY,,False,,,,,,,,,,,,,,,,
CROMPTON,2026-04-25,11:45:48,CAUTION,1,-0.1,-1.73,-2.02,OPPORTUNITY_OVERSHOOT,ALERT,0.52,BEARISH,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-25-CROMPTON-OPPORTUNITY_OVERSHOOT,,,,,missed,,,,,,,,,,,,,,,,,BARS_INSUFFICIENT,INVALID,,False,,,,,,,,,,,,,,,,
SBICARD,2026-04-20,15:30:29,NEUTRAL,1,-0.58,-3.47,-1.98,POSSIBLE_OPPORTUNITY,HOLD,0.97,NEUTRAL,False,,,,,,,,NEUTRAL,MISSED-2026-04-20-SBICARD-POSSIBLE_OPPORTUNITY,,,,,missed,NEUTRAL,698.4,699.8,8.0,673.05,372.0,674.2,682.3,0.20045819014890856,-3.6297250859106565,-3.4650630011454657,-2.305269186712489,1.9186712485681525,2.004581901489118,True,False,OK,ONE_WAY_DOWN,,False,,,,,,,,,,,,,,,,
SRF,2026-04-24,13:18:25,CAUTION,1,-0.15,-3.32,-1.97,OPPORTUNITY_OVERSHOOT,ALERT,0.57,BEARISH,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-24-SRF-OPPORTUNITY_OVERSHOOT,,,,,missed,,2559.0,2561.0,0.0,2472.5,160.0,2488.0,2493.0,0.07815552950371239,-3.380226651035561,-2.77452129738179,-2.5791324736225087,1.1019929660023375,2.1180148495505984,True,False,OK,CHOPPY,,False,,,,,,,,,,,,,,,,
DIVISLAB,2026-04-24,09:33:31,CAUTION,1,-0.87,0.09,1.95,OPPORTUNITY_LAG,ADD,0.76,MILD_BEAR,False,,SHORT,"{'direction': 'SHORT', 'entry': 'market', 'stop_pct': 0.74, 'target_pct': -2.61, 'hold_days': 3, 'size_inr': 50000}",LAG,FADE,FOLLOW,True,,MISSED-2026-04-24-DIVISLAB-OPPORTUNITY_LAG,,,,,missed,,6408.5,6430.0,11.0,6320.0,374.0,6320.0,6377.0,0.33549192478739176,-1.3809783880783335,-1.3809783880783335,-0.4915346805024577,0.9674650854334087,0.9674650854334087,True,False,OK,ONE_WAY_DOWN,0.5467924016810575,True,0.7625272331154684,0.7239044134817467,TIME,315.0,0.11747200250606939,TIME,310.0,0.7625272331154684,TIME,305.0,0.7084468664850136,TIME,300.0,0.4216114928169894,TIME,285.0
HYUNDAI,2026-04-24,12:03:36,CAUTION,1,-0.84,-4.04,-1.9,OPPORTUNITY_OVERSHOOT,ALERT,0.71,MILD_BEAR,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-24-HYUNDAI-OPPORTUNITY_OVERSHOOT,,,,,missed,,1848.7,1848.0,0.0,1773.3,168.0,1781.4,1790.0,-0.03786444528587902,-4.078541677935852,-3.640395953913558,-3.1752041975442227,2.0663168713149807,2.3097311624384727,True,False,OK,ONE_WAY_DOWN,,False,,,,,,,,,,,,,,,,
BLUESTARCO,2026-04-16,15:00:28,CAUTION,1,0.11,2.27,1.89,POSSIBLE_OPPORTUNITY,HOLD,,NEUTRAL,False,,,,,,,,CAUTION,MISSED-2026-04-16-BLUESTARCO-POSSIBLE_OPPORTUNITY,,,,,missed,CAUTION,1811.0,1870.6,6.0,1799.0,65.0,1850.0,1838.8,3.2909994478188795,-0.6626173384870238,2.1535063500828273,1.5350635008282691,3.6885698509110965,3.6885698509110965,True,False,OK,CHOPPY,,False,,,,,,,,,,,,,,,,
HAVELLS,2026-04-16,13:01:58,CAUTION,1,-0.15,-1.84,-1.89,POSSIBLE_OPPORTUNITY,HOLD,,NEUTRAL,False,,,,,,,,CAUTION,MISSED-2026-04-16-HAVELLS-POSSIBLE_OPPORTUNITY,,,,,missed,CAUTION,1297.0,1307.0,2.0,1273.0,226.0,1292.2,1293.8,0.7710100231303006,-1.8504240555127216,-0.3700848111025408,-0.24672320740169973,1.4649190439475712,2.2898997686969964,True,False,OK,REVERSE_V_HIGH,,False,,,,,,,,,,,,,,,,
GODFRYPHLP,2026-04-25,14:00:48,CAUTION,1,-0.23,-1.99,-1.88,OPPORTUNITY_OVERSHOOT,ALERT,0.4,BEARISH,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-25-GODFRYPHLP-OPPORTUNITY_OVERSHOOT,,,,,missed,,,,,,,,,,,,,,,,,BARS_INSUFFICIENT,INVALID,,False,,,,,,,,,,,,,,,,
